题号,输入Prompt,真实难度标签,系统预估难度,仲裁引擎,判定流程,真实调用链路,最终调用模型,最终总耗时,平均TPS,安全得分,执行后电量,执行后温度,最终模型回复
D01,请从算法复杂度角度，比较快速排序、归并排序与堆排序，并分析在不同输入分布下的性能差异，给出详细推导过程。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,[初始路由]qwen-1.5b(score=45.00) -> [调用]qwen-1.5b -> [状态回写]qwen-1.5b|t=26.538s -> [质量通过],qwen-1.5b,26.538,14.5517,27.789,98.94,44.05,快速排序（Quick Sort）和归并排序（Merge Sort）是两种常见的排序算法，而堆排序是一种不稳定的排序算法。  1. 快速排序：  快速排序的时间复杂度为O(n log n)在最好情况下，最坏情况下为O(n^2)，平均情况略高于平均。它通常采用分治法策略，将数组分割成两部分，分别进行排序，再合并。时间复杂度主要取决于分治的过程。  2. 归并排序：  归并排序的时间复杂度是O(n log n)无论在最好、最坏或平均情况下。它使用了分而治之的策略，从输入数据分割中找出中间位置，重复地将较小数组进行合并。  3. 堆排序：  堆排序的时间复杂度为O(n log n)，且需要额外的空间来存储整个堆。堆是完全二叉树的一种特殊类型，可以通过调整其大小（删除一个节点或增加一个节点）来进行排序。  在不同输入分布下的性能差异主要体现在快速排序和归并排序上：   1. 快速排序：  - 当数组是随机的、均匀分布时，平均时间复杂度为O(n log n)，最坏情况为O(n^2)。  - 在小数据量或者大部分元素相等的情况下，快速排序会比其他两种算法更快。  2. 归并排序：  - 在所有情况下，归并排序的时间复杂度都是O(n log n)。 - 无论输入是均匀分布还是随机分布，其性能都比较稳定。  总的来说，对于大规模的数据集，归并排序和堆排序通常是更好的选择。而对于小规模数据或者需要频繁插入或删除元素的情况，快速排序可能更合适。
D02,请证明二分查找在有序数组中的时间复杂度为 O(log n)，并补充递归与迭代实现的边界条件分析。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,[初始路由]qwen-1.5b(score=30.79) -> [调用]qwen-1.5b -> [状态回写]qwen-1.5b|t=32.478s -> [质量通过],qwen-1.5b,32.4781,14.3847,10.689,97.64,53.89,"### 问题背景  在计算机科学领域，最常用的搜索算法是**二分查找（Binary Search）**，它是高效地找到一个有序列表中指定元素位置的关键技术。它通过对数据进行连续分割来缩小搜索范围，每次分割都是目标值与中间位置元素的比较。  ### 时间复杂度分析  #### 递归实现时间复杂度为 O(log n)  - **递归基础条件**: 如果数组为空或没有更多的子数组可分，则二分查找终止。 - **递归条件**: 分成两半后，选择其中较小的一半继续查找。每次搜索范围减半。  因此，算法的时间复杂度是 $O(\log n)$，因为每次分割都使搜索范围缩小一半。  #### 迭代实现时间复杂度为 O(log n)  在迭代实现中，使用循环来模拟递归的过程。初始时将目标值与数组中的第一个元素比较，如果其比目标值大，则缩小数组的上半部分；如果相等则查找成功；否则将其移至较下一半继续比较。  ```python def binary_search_iterative(arr, target):     left = 0     right = len(arr) - 1          while left <= right:         mid = (left + right) // 2                  if arr[mid] == target:             return mid         elif arr[mid] < target:             left = mid + 1         else:             right = mid - 1                  return -1  # 如果元素不存在于列表中则返回-1 ```  ### 边界条件分析  - **数组为空**: 若输入的数组为None或长度为0，说明没有元素可搜索，此时直接返回 `-1` 或异常处理。    - **目标值不存在于数组中**: 在迭代实现中，如果循环结束时 `left > right` 但未找到目标值，则表示该值不在列表中；在递归实现中，当子数组无进一步分割可以进行时也直接终止。  总之，在有序数组中执行二分查找的时间复杂度严格为 $O(\log n)$。"
D03,请设计一个支持高并发读写的缓存系统，讨论一致性、淘汰策略、异常处理、限流熔断与可观测性架构。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=15.25,跳过:qwen-1.5b -> [初始路由]llama-1b(score=15.25) -> [调用]llama-1b -> [状态回写]llama-1b|t=68.831s -> llama-1b [质量拦截:复读机输出] -> [受限/妥协]score=-4.81,无法升级到:qwen-1.5b -> [云端兜底卸载] -> Cloud-API [成功]",qwen-1.5b,70.031,16.4577,-4.809,96.26,62.74,这是由云端大模型 API 生成的高质量兜底回答。
D04,请写出 Python 版本的图最短路算法，并比较 Dijkstra 与 Bellman-Ford 在负权边场景的区别与复杂度。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=1.15,跳过:qwen-1.5b -> [初始路由]llama-1b(score=1.15) -> [调用]llama-1b -> [状态回写]llama-1b|t=70.205s -> llama-1b [质量拦截:复读机输出] -> [受限/妥协]score=-18.13,无法升级到:qwen-1.5b -> [云端兜底卸载] -> Cloud-API [成功]",qwen-1.5b,71.4046,16.4913,-18.129,94.86,70.27,这是由云端大模型 API 生成的高质量兜底回答。
D05,请从微服务架构角度，详细说明服务发现、配置中心、链路追踪、分布式事务与幂等控制的工程权衡。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=-10.99,强制:qwen-0.5b -> [初始路由]qwen-0.5b(score=-10.99) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=38.274s -> qwen-0.5b [质量拦截:复读机输出] -> [受限/妥协]score=-11.25,无法升级到:llama-1b -> [云端兜底卸载] -> Cloud-API [成功]",llama-1b,39.4738,27.3888,-11.247,94.48,65.98,这是由云端大模型 API 生成的高质量兜底回答。
D06,请回复收到,1,1,MLP,Rule命中->MLP复核(1)->最终1,[初始路由]qwen-0.5b(score=-4.78) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.710s -> [质量通过],qwen-0.5b,0.7105,33.339,0.942,94.47,58.62,你好，很高兴看到你收到了我的回应。有什么我可以帮助你的吗？
D07,你好,1,1,MLP,Rule命中->MLP复核(1)->最终1,[初始路由]qwen-0.5b(score=6.25) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.439s -> [质量通过],qwen-0.5b,0.439,35.7,10.977,94.47,52.57,你好！有什么可以帮助你的吗？
D08,1+1等于几,1,1,MLP,Rule命中->MLP复核(1)->最终1,[初始路由]qwen-0.5b(score=15.33) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.419s -> [质量通过],qwen-0.5b,0.4195,39.4878,19.197,94.47,47.61,1+1等于2。
D09,2+3等于几,1,1,MLP,Rule命中->MLP复核(1)->最终1,[初始路由]qwen-0.5b(score=22.77) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.431s -> [质量通过],qwen-0.5b,0.4307,36.7218,25.917,94.47,43.56,2+3等于5。
D10,3+5等于几,1,1,MLP,Rule命中->MLP复核(1)->最终1,[初始路由]qwen-0.5b(score=28.84) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.393s -> [质量通过],qwen-0.5b,0.393,42.748,31.422,94.47,40.24,3+5=8
