题号,输入Prompt,真实难度标签,系统预估难度,仲裁引擎,判定流程,真实调用链路,最终调用模型,最终总耗时,平均TPS,安全得分,执行后电量,执行后温度,最终模型回复
A01,请回复收到,1,1,MLP,Rule命中->MLP复核(1)->最终1,[初始路由]qwen-0.5b(score=45.00) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=4.358s -> [质量通过],qwen-0.5b,4.3579,34.3092,45.666,99.96,33.63,你好！有什么可以帮助你的吗？
A02,你好,1,1,MLP,Rule命中->MLP复核(1)->最终1,[初始路由]qwen-0.5b(score=47.03) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.666s -> [质量通过],qwen-0.5b,0.666,33.7226,48.15,99.95,32.13,你好！很高兴为你服务。有什么问题或者需要帮助的吗？
A03,1+1等于几,1,1,MLP,Rule命中->MLP复核(1)->最终1,[初始路由]qwen-0.5b(score=49.27) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.419s -> [质量通过],qwen-0.5b,0.4186,38.9367,50.22,99.95,30.88,1+1等于2。
A04,2+3等于几,1,1,MLP,Rule命中->MLP复核(1)->最终1,[初始路由]qwen-0.5b(score=51.15) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.456s -> [质量通过],qwen-0.5b,0.4555,32.6133,51.915,99.95,29.86,2+3等于5。
A05,3+5等于几,1,1,MLP,Rule命中->MLP复核(1)->最终1,[初始路由]qwen-0.5b(score=52.68) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.457s -> [质量通过],qwen-0.5b,0.4567,32.5033,53.295,99.95,29.03,3+5等于8。
A06,今天星期几,1,1,MLP,Rule命中->MLP复核(1)->最终1,[初始路由]qwen-0.5b(score=53.92) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=2.743s -> qwen-0.5b [质量拦截:模型拒答] -> [升级重试]qwen-0.5b->llama-1b(score=54.01) -> [调用]llama-1b -> [状态回写]llama-1b|t=8.604s -> [质量通过],llama-1b,11.3474,30.8817,51.555,99.75,30.0,星期日
A07,现在几点,1,1,MLP,Rule命中->MLP复核(1)->最终1,[初始路由]qwen-0.5b(score=52.35) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.833s -> [质量通过],qwen-0.5b,0.8331,30.0372,52.914,99.74,29.18,我现在正在这里，无法提供实时时间。您需要帮助解答其他问题吗？
A08,请说早上好,1,1,MLP,Rule命中->MLP复核(1)->最终1,[初始路由]qwen-0.5b(score=53.57) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.320s -> [质量通过],qwen-0.5b,0.3203,45.0186,54.114,99.74,28.46,早上好！
A09,请说晚上好,1,1,MLP,Rule命中->MLP复核(1)->最终1,[初始路由]qwen-0.5b(score=54.65) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.308s -> [质量通过],qwen-0.5b,0.3083,44.3349,55.089,99.74,27.87,晚安!
A10,请输出数字7,1,1,MLP,Rule命中->MLP复核(1)->最终1,[初始路由]qwen-0.5b(score=55.54) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.241s -> [质量通过],qwen-0.5b,0.2408,70.5417,55.914,99.74,27.37,7
A11,请输出数字9,1,1,MLP,Rule命中->MLP复核(1)->最终1,[初始路由]qwen-0.5b(score=56.29) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=0.236s -> [质量通过],qwen-0.5b,0.2357,68.7552,56.589,99.74,26.96,9
