题号,输入Prompt,真实难度标签,系统预估难度,仲裁引擎,判定流程,真实调用链路,最终调用模型,最终总耗时,平均TPS,安全得分,执行后电量,执行后温度,最终模型回复
B01,请从算法复杂度角度，比较快速排序、归并排序与堆排序，并分析在不同输入分布下的性能差异，给出详细推导过程。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,[初始路由]qwen-1.5b(score=45.00) -> [调用]qwen-1.5b -> [状态回写]qwen-1.5b|t=39.916s -> qwen-1.5b [质量拦截:复读机输出] -> [受限/妥协]端侧最高模型仍不达标 -> [云端兜底卸载] -> Cloud-API [成功],qwen-1.5b,41.1159,14.1881,18.375,98.4,49.53,这是由云端大模型 API 生成的高质量兜底回答。
B02,请证明二分查找在有序数组中的时间复杂度为 O(log n)，并补充递归与迭代实现的边界条件分析。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,[初始路由]qwen-1.5b(score=22.24) -> [调用]qwen-1.5b -> [状态回写]qwen-1.5b|t=35.485s -> qwen-1.5b [质量拦截:代码任务缺少代码块] -> [受限/妥协]端侧最高模型仍不达标 -> [云端兜底卸载] -> Cloud-API [成功],qwen-1.5b,36.6849,14.3563,0.813,96.98,59.61,这是由云端大模型 API 生成的高质量兜底回答。
B03,请设计一个支持高并发读写的缓存系统，讨论一致性、淘汰策略、异常处理、限流熔断与可观测性架构。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=6.27,跳过:qwen-1.5b -> [初始路由]llama-1b(score=6.27) -> [调用]llama-1b -> [状态回写]llama-1b|t=72.286s -> llama-1b [质量拦截:复读机输出] -> [受限/妥协]score=-14.19,无法升级到:qwen-1.5b -> [云端兜底卸载] -> Cloud-API [成功]",qwen-1.5b,73.4861,16.3402,-14.187,95.53,68.13,这是由云端大模型 API 生成的高质量兜底回答。
B04,请写出 Python 版本的图最短路算法，并比较 Dijkstra 与 Bellman-Ford 在负权边场景的区别与复杂度。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=-7.38,跳过:qwen-1.5b -> [初始路由]llama-1b(score=-7.38) -> [调用]llama-1b -> [状态回写]llama-1b|t=41.343s -> llama-1b [质量拦截:复读机输出] -> [受限/妥协]score=-15.75,无法升级到:qwen-1.5b -> [云端兜底卸载] -> Cloud-API [成功]",qwen-1.5b,42.5435,17.2271,-15.75,94.7,68.78,这是由云端大模型 API 生成的高质量兜底回答。
B05,请从微服务架构角度，详细说明服务发现、配置中心、链路追踪、分布式事务与幂等控制的工程权衡。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=-8.85,跳过:qwen-1.5b -> [初始路由]llama-1b(score=-8.85) -> [调用]llama-1b -> [状态回写]llama-1b|t=41.387s -> [质量通过]",llama-1b,41.3867,17.0279,-17.148,93.87,69.32,### 服务发现  在微服务 Architecture中，服务发现的主要目的是让其他服务可以识别并了解应用程序中的服务，这有助于维护服务间的协调和顺利启动。  1.  **服务识别**：利用HTTP、MQTT等通讯方式来推断服务发现。 2.  **服务注册**：通过服务发现提供的服务接口（如Eureka或ZooKeeper）与应用程序进行注册，以便其他服务可以检测到应用程序服务。  ### 配置中心  配置中心是指数据中心，负责存储和管理应用程序的配置参数。它为后续的服务来进行身份验证、授权和安全访问提供了一个可靠的、可扩展的数据 store空间。  1.  **数据存储**：使用数据存储技术（如 relational databases、NoSQL databases 等）来存储配置信息。 2.  **数据管理**：为后续服务提供身份验证、授权和安全访问的支持，通过认证机制（如OAuth2）来控制应用程序的权限。  ### 链路追踪  链路追踪是指可以显示服务间通信路径的工具，用于监控服务的性能、降低异常事件数量，并且有助于开发新服务增加线程数或提高服务速度。  1.  **HTTP追踪**：利用浏览器和服务发现组件（如Spiderid）之间的HTTP追踪功能来检测应用程序服务是否正确地将请求转发给后续服务。 2.  **MQTT、AMQP、RPC等追踪工具**：使用这些传输层来记录应用程序中的各种操作以及链路中交换数据。  ### 分布式事务与幂等控制  分布式事务和幂等控制是指在分布式系统中处理多个实体之间的关系。这些控制机制是确保数据的一致性和安全性的基础，它们通过数据组件、事务模式和幂等管理等方式提供服务。  1.  **事务管理**：使用数据组件（如T-SQL、NoSQL 等）来管理分布式实体之间的关系，包括事务、锁定、回滚等操作。 2.  **幂等控制**：在分布式实体之间实现共享和唯一性，确保所有实体都可以准确地识别和管理。  ### 工程权衡  从微服务 Architecture角度来看，服务发现的主要功能是维护服务间的协调，因此应用程序的性能和性能下降是最大的风险。   1.  **服务效率**：保证每次请求都能处理好数量，不会因为服务发现无法识别或注册导致延迟。 2.  **安全性**：确保数据存储和配置管理都是安全的，不会被盗窃、泄露信息等问题。 3.  **可扩展性**：通过多个实体之间的关系和幂等管理来提高系统的容量和整体性能。
B06,请阅读以下逻辑并指出潜在 bug：if (x>0) {return f(x);} else {while(true){}}，并给出可证明终止的重构方案。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=-10.16,强制:qwen-0.5b -> [初始路由]qwen-0.5b(score=-10.16) -> [调用]qwen-0.5b -> [状态回写]qwen-0.5b|t=8.848s -> [质量通过]",qwen-0.5b,8.8482,29.8416,-5.382,93.78,62.19,"问题分析： 该逻辑是一个循环，在循环内执行两个条件的 `if` 语句。当 `x > 0` 时，返回函数 `f(x)`。当 `x <= 0` 时，通过一个无限循环 `while(true)` 来不断重复调用 `f(x)`。  潜在问题： 这个逻辑可能在某些情况下无法正确执行或可能会导致无限循环。例如，在处理负数输入时，由于无限循环会导致程序无限进入一个死循环，从而耗尽系统资源。  可证明的重构方案：  1. **检查 `x` 的值**：在 `if (x>0)` 之前添加了 `if (x <= 0)` 条件。这样可以避免循环的无限进入。 2. **使用条件判断**：修改逻辑为 `if(x<=0) return f(x); else while(true){}`。  改进后的代码：  ```java public void f(int x) {     if (x <= 0) {         System.out.println(""f called with: "" + x);         return;     } } ```  通过这两项修改，可以有效解决循环的问题。"
B07,请比较 Transformer、RNN、LSTM 的长序列建模能力，结合注意力机制原理解释并行优势和内存代价。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=0.48,跳过:qwen-1.5b -> [初始路由]llama-1b(score=0.48) -> [调用]llama-1b -> [状态回写]llama-1b|t=34.360s -> [质量通过]",llama-1b,34.3604,17.4187,-6.276,93.09,62.48,1.  Transformer：Transformer是自适应性自然语言处理的标准模型，它通过多次相加运算来处理长段文本，从而进行预测、生成等任务。Transformer具有以下几点优势：- 最大的优势之一就是能够处理较长的文本，并且没有数据限制。- Transformer的注意力机制主要是通过一个动态矩阵来表示当前和上一段时间的信息之间的关系，进而进行相加操作。这使得它能够在较大-scale的语义任务中保持高效。- Transformer也比较具有灵活性，它可以从多种数据类型（如单词、类别）生成不同的预测表达式，从而适应不同问题。 2.  RNN：RNN（Recurrent Neural Network）是类型为LSTM的神经网络，主要用于解决序列数据的问题。RNN具有以下几点优势：- RNN能够处理较短的文本，包括单词、类别等信息。- RNN能够实现动态的 forgetting机制，进而保持模型的可 reuse。 3.  LSTM：LSTM（Long Short-Term Memory）是自适应性自然语言处理中RNN的一个特定类型，它能处理较短的序列数据，并且有一个gate keeper，gate keeper可以帮助控制信息的流动。LSTM具有以下几点优势：- Lstm能够保留长期记忆（long-term memory）的内容，更有效地处理短段文本。 - 有效使用 forgetting机制，确保模型不再过度关注最近的输入。这在长序列建模中显著有利。 4.  在上述三个模型中，Transformer能够最大的优势是在处理较大-scale的语义任务和具有灵活性的同时，这使得它能够更适应实际应用场景。  但是，这三者之间存在不同的限制：1.RNN的注意力机制主要是通过动态矩阵来表示当前和上一段时间的信息之间的关系。这使得RNN可能难以处理较长的文本，因为相加运算需要大量计算，且会产生过多的权重。2.LSTM可以有效保留长期记忆（long-term memory）的内容，更有效地处理短段文本。3. Transformer的注意力机制具有动态矩阵，这使得它可能不适合于RNN和LSTM。  所有这些原因，Transformer是最适合于较大-scale自然语言处理任务的模型，LSTM是RNN和LSTM的好选择，因为它们能够更有效地保留长期记忆。
B08,请从数学角度推导交叉熵损失与 softmax 梯度，给出每一步公式变形过程，并解释数值稳定性处理。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=-0.37,跳过:qwen-1.5b -> [初始路由]llama-1b(score=-0.37) -> [调用]llama-1b -> [状态回写]llama-1b|t=44.128s -> [质量通过]",llama-1b,44.1281,17.1987,-10.524,92.21,64.72,**计算交叉熵和 Softmax Gradient**  交叉熵是MLP（Multilayer Perceptron）中用于衡量深度神经网络的损失的概念， softmax 是一个常用函数来对多个类别进行向量概率估计，softmax_gradient 是学习过程中计算需要优化的 gradients 的公式。  **交叉熵**  交叉熵是通过将输入样本通过两次层（一层 flatten 和最后一层 softmax）然后求和来表示的深度神经网络的损失。可以用公式来表示：  \[ L_{cnn} = - \sum_{i=0}^{n} \log(\frac{1}{e^z_i + e^{-z_i}}) \]  其中：$L_{cnn}$ 是交叉熵损失； $z_i$ 是 i 个样本对应的变量（也就是特征值）； $n$ 是输入样本数量。  **Softmax Gradient**   softmax_gradient 是计算需要优化函数 gradients 的公式，用于实现最小化交叉熵损失的步骤。可以用公式来表示：  \[ g(z) = \frac{1}{n} \sum_{i=0}^{n} e^{-z_i}\cdot a_i\]  其中：$g(z)$ 是 softmax Gradient； $a_i$ 是 i 个样本对应的概率值； $n$ 是输入样本数量。  **交叉熵和 Softmax Gradient 的关系**  交叉熵和softmax_gradient 都是关于损失函数的方法来计算需要优化损失的 gradients。然而，交叉熵可以用多个层来表示所有样本对应的变量，而 softmax_gradient 可以用每个样本对应的概率值来实现。  **数值稳定性处理**  当使用交叉熵和softmax_gradient 时，可以通过不同的优化方法（例如 Adam、Adagrad 等）来实现最小化交叉熵损失。然而，存在一些风险：  1.  **多次估计梯度值**：在某些情况下，计算梯度值会发生多次估计，这可能导致数值稳定性问题。 2.  **不充分的计算量**：交叉熵和softmax_gradient 都需要大量计算资源，可能导致 CPU 时间过长或 Memory 使用过高。 3.  **不正确的优化方法**：使用不正确的优化方法（例如使用较低的学习率）可能导致数值稳定性问题。  为了解决这些问题，我们可以使用以下策略：  1.  **多次估计梯度值，但以特定的方式进行估计**：通过使用多个估计点来计算梯度值，这可能增加计算量，但可以帮助抵消多次估计风险。 2.  **使用较高的学习率**：使用较高的 learning rate 可能减少数值稳定性问题。 3.  **使用批向量优化（Batch Gradient）**：在批向量上进行计算，可以提高效率和更好的速度。  通过遵循这些策略，我们可以有效地实现交叉熵损失和 softmax gradient 的最小化，同时避免了数值稳定性问题。
B09,请基于 CAP 理论分析分布式数据库在一致性与可用性之间的取舍，并给出你推荐的工程实践。,3,3,RF,MLP初判(2)->RF复判(3)->最终3,"[受限降级]score=-4.25,跳过:qwen-1.5b -> [初始路由]llama-1b(score=-4.25) -> [调用]llama-1b -> [状态回写]llama-1b|t=28.781s -> [质量通过]",llama-1b,28.7805,17.5917,-8.697,91.63,63.41,Distributional Database:  - 一致性：一个集群可以保证所有数据都处于一个事务中，包括 insert、update 和 delete。 - 可用性：一个集群可以提供高可用性，因为它可以在多个节点上维护数据一致性。  取舍的原因： - 一个集群无法满足全部需求：当集群中的所有元素无法满足相同要求时，可能需要重新设计整个集群，以满足该集群的要求。 - 低可用性：当某些元素发生故障时，不要让集群失效，因为它不能在任何节点上维护一致性。 - 高延迟：在分布式环境中，事务可能会对多个节点进行操作。这样一个事务需要处理一个大的集合，这意味着不确定性的增加，因为我们无法预测事务是不会被分成几个小事务还是会被分成两个大事务。  推荐的工程实践： 1.  **使用高可用性和一致性**：在设计分布式数据库时，首先考虑一致性和可用性之间的取舍。通常优先考虑一致性，因为它使得所有应用程序都可以正常工作。 2.  **使用分散存储**：分散存储（ Distributed Storage）比单列存储更有效地满足分布式环境中的需求。如果在一个集群中存在多个实体，可以用这些实体来存储数据，从而可以降低可用性和延迟。 3.  **使用事务**：使用事务可以帮助处理一致性，尤其是在高可用性需要的情况下。这包括了 insert、update 和 delete 操作的执行。 4.  **选择适当的存储引擎**：不同类型的数据（如结构化和非结构化数据）会有不同的存储引擎需求。使用合适的存储引擎可以提高可用性和一致性。 5.  **测试并优化**：在分布式环境中，实际上是使用分布式计算机进行数据处理和服务，但必须确保所有功能都在一个集群内工作以获得最佳结果。
B10,请实现一个支持回滚的并查集结构，并分析其时间复杂度与空间复杂度。,3,3,RF,MLP初判(3)->RF复判(3)->最终3,"[受限降级]score=-2.64,跳过:qwen-1.5b -> [初始路由]llama-1b(score=-2.64) -> [调用]llama-1b -> [状态回写]llama-1b|t=103.546s -> llama-1b [质量拦截:复读机输出] -> [受限/妥协]score=-33.53,无法升级到:qwen-1.5b -> [云端兜底卸载] -> Cloud-API [成功]",qwen-1.5b,104.7464,15.7322,-33.534,89.56,77.64,这是由云端大模型 API 生成的高质量兜底回答。
